fecha,tweet
2018-06-03 16:19:03,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:16:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:14:12,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:14:11,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:13:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:13:07,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:12:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:12:07,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:12:07,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:11:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:11:07,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:11:07,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:10:13,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:10:12,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:10:12,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:09:09,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:09:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
