prediction,count2018-05-29,count2018-05-31,count2018-06-07,count2018-05-30,count2018-06-06,count2018-06-04,count2018-06-02,count2018-05-28,count2018-06-05,count2018-06-01,count2018-06-03
1.0,1,1,0,1,0,0,5,0,0,3,1
0.0,4,6,0,3,0,6,5,0,0,2,3
2.0,0,1,0,0,0,1,0,0,0,1,0
